customerinstallationid,hostname,machinetypecode
1781,maxus-wa01.sgtc2vmhosted.jiveland.com,webapp
1781,maxus-cs01.sgtc2vmhosted.jiveland.com,cache
1781,maxus-wa02.sgtc2vmhosted.jiveland.com,webapp
1781,maxus-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1781,maxus-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1781,maxus-db.sgtc2vmhosted.jiveland.com,dbvirtual
1782,maxus-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
1782,maxus-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
1782,maxus-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
1782,maxus-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1782,maxus-uat-cs01.sgtc2vmhosted.jiveland.com,cache
1782,maxus-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1811,genpact-cs01.sgtc2vmhosted.jiveland.com,cache
1811,genpact-db.sgtc2vmhosted.jiveland.com,dbvirtual
1811,genpact-wa02.sgtc2vmhosted.jiveland.com,webapp
1811,genpact-wa01.sgtc2vmhosted.jiveland.com,webapp
1812,genpact-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
1812,genpact-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
1812,genpact-uat-cs01.sgtc2vmhosted.jiveland.com,cache
1812,genpact-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
1930,groupm-mec-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
1930,groupm-mec-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
1930,groupm-mec-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
1930,groupm-mec-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1930,groupm-mec-uat-cs01.sgtc2vmhosted.jiveland.com,cache
1930,groupm-mec-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1931,groupm-mec-cs01.sgtc2vmhosted.jiveland.com,cache
1931,groupm-mec-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1931,groupm-mec-db.sgtc2vmhosted.jiveland.com,dbvirtual
1931,groupm-mec-wa02.sgtc2vmhosted.jiveland.com,webapp
1931,groupm-mec-wa01.sgtc2vmhosted.jiveland.com,webapp
1931,groupm-mec-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1938,groupm-mediacom-cs01.sgtc2vmhosted.jiveland.com,cache
1938,groupm-mediacom-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1938,groupm-mediacom-wa01.sgtc2vmhosted.jiveland.com,webapp
1938,groupm-mediacom-wa02.sgtc2vmhosted.jiveland.com,webapp
1938,groupm-mediacom-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1938,groupm-mediacom-db.sgtc2vmhosted.jiveland.com,dbvirtual
1939,groupm-mediacom-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
1939,groupm-mediacom-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
1939,groupm-mediacom-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
1939,groupm-mediacom-uat-cs01.sgtc2vmhosted.jiveland.com,cache
1939,groupm-mediacom-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
1939,groupm-mediacom-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
1941,groupm-corp-uat-eae01.sgvm2hosted.jiveland.com,eaeservice
1941,groupm-corp-uat-eaedb.sgvm2hosted.jiveland.com,dbeae
1941,groupm-corp-uat-cs01.sgvm2hosted.jiveland.com,cache
1941,groupm-corp-uat-db.sgvm2hosted.jiveland.com,dbvirtual
1941,groupm-corp-uat-wa02.sgvm2hosted.jiveland.com,webapp
1941,groupm-corp-uat-wa01.sgvm2hosted.jiveland.com,webapp
1942,serco-wa02.sgtc2vmhosted.jiveland.com,webapp
1942,serco-wa01.sgtc2vmhosted.jiveland.com,webapp
1942,serco-cs01.sgtc2vmhosted.jiveland.com,cache
