customerinstallationid,hostname
12149,insurity-cs01.m1phx1.jivehosted.com
12149,insurity-eae01.m1phx1.jivehosted.com
12149,insurity-wa01.m1phx1.jivehosted.com
5131,thunder2579.m1phx1.jivehosted.com
6211,hazelden-db.m2phx1.jivehosted.com
6211,hazelden-eaedb.m2phx1.jivehosted.com
12149,insurity-wa02.m1phx1.jivehosted.com
3777,thunder1152.m1phx1.jivehosted.com
12150,insurity-uat-eaedb.m1phx1.jivehosted.com
12150,insurity-uat-cs01.m1phx1.jivehosted.com
12150,insurity-uat-eae01.m1phx1.jivehosted.com
12150,insurity-uat-wa01.m1phx1.jivehosted.com
4078,thunder1623.m1phx1.jivehosted.com
3083,prudentialphx-uat-wa01.m1phx1.jivehosted.com
3083,prudentialphx-uat-wa02.m1phx1.jivehosted.com
12148,canon-grid-uat-wa01.m1phx1.jivehosted.com
12148,canon-grid-uat-eae01.m1phx1.jivehosted.com
8812,qualys-inc-external-wa01.m1phx1.jivehosted.com
8812,qualys-inc-external-wa02.m1phx1.jivehosted.com
6620,synopsysinc-uat-db.m2phx1.jivehosted.com
4178,plang-cs01.m1phx1.jivehosted.com
13593,directv-inc-ext-uat-eae01.m1phx1.jivehosted.com
7663,bcg-phx-uat-db.m2phx1.jivehosted.com
4178,plang-eae01.m1phx1.jivehosted.com
3318,american-airlines-uat-db.m1phx1.jivehosted.com
3318,american-airlines-uat-eaedb.m1phx1.jivehosted.com
3318,american-airlines-uat-cs01.m1phx1.jivehosted.com
3318,american-airlines-uat-eae01.m1phx1.jivehosted.com
3318,american-airlines-uat-wa01.m1phx1.jivehosted.com
3318,american-airlines-uat-wa02.m1phx1.jivehosted.com
4178,plang-wa01.m1phx1.jivehosted.com
4178,plang-wa02.m1phx1.jivehosted.com
7843,cannon-design-eaedb.m2phx1.jivehosted.com
4520,alcatel-lucent-engage-uat-cs01.m1phx1.jivehosted.com
4520,alcatel-lucent-engage-uat-eae01.m1phx1.jivehosted.com
4520,alcatel-lucent-engage-uat-wa01.m1phx1.jivehosted.com
4520,alcatel-lucent-engage-uat-wa02.m1phx1.jivehosted.com
9567,rwbaird-vm-db.m2phx1.jivehosted.com
9567,rwbaird-vm-eaedb.m2phx1.jivehosted.com
17646,thunder23907.m1phx1.jivehosted.com
4832,cfe-db.m1phx1.jivehosted.com
4832,cfe-eaedb.m1phx1.jivehosted.com
4832,cfe-cs01.m1phx1.jivehosted.com
9567,rwbaird-vm-cs01.m2phx1.jivehosted.com
9567,rwbaird-vm-eae01.m2phx1.jivehosted.com
9567,rwbaird-vm-wa01.m2phx1.jivehosted.com
9567,rwbaird-vm-wa02.m2phx1.jivehosted.com
5304,freescale-phx-eaedb.m1phx1.jivehosted.com
5304,freescale-phx-cs01.m1phx1.jivehosted.com
5304,freescale-phx-eae01.m1phx1.jivehosted.com
5561,accelrys-uat-vm-wa02.m1phx1.jivehosted.com
7067,thunder4425.m1phx1.jivehosted.com
2908,ltpulse-phx-db.m1phx1.jivehosted.com
2908,ltpulse-phx-eaedb.m1phx1.jivehosted.com
2908,ltpulse-phx-cs01.m1phx1.jivehosted.com
2908,ltpulse-phx-eae01.m1phx1.jivehosted.com
17370,thunder22581.m1ams1.jivehosted.com
2908,ltpulse-phx-wa01.m1phx1.jivehosted.com
2908,ltpulse-phx-wa02.m1phx1.jivehosted.com
6211,hazelden-cs01.m2phx1.jivehosted.com
7392,resource-interactive-db.m2phx1.jivehosted.com
6211,hazelden-eae01.m2phx1.jivehosted.com
6211,hazelden-wa01.m2phx1.jivehosted.com
6211,hazelden-wa02.m2phx1.jivehosted.com
13592,directv-inc-ext-db.m1phx1.jivehosted.com
16987,thunder21073.m1phx1.jivehosted.com
16811,acegroup-int-wa03.m2phx1.jivehosted.com
3083,prudentialphx-uat-db.m1phx1.jivehosted.com
7663,bcg-phx-uat-eaedb.m2phx1.jivehosted.com
7663,bcg-phx-uat-cs01.m2phx1.jivehosted.com
7663,bcg-phx-uat-eae01.m2phx1.jivehosted.com
7663,bcg-phx-uat-wa01.m2phx1.jivehosted.com
7663,bcg-phx-uat-wa02.m2phx1.jivehosted.com
4084,hca-vm-uat-db.m1phx1.jivehosted.com
4084,hca-vm-uat-cs01.m1phx1.jivehosted.com
4084,hca-vm-uat-wa01.m1phx1.jivehosted.com
4084,hca-vm-uat-wa02.m1phx1.jivehosted.com
4179,plang-uat-db.m1phx1.jivehosted.com
4179,plang-uat-eaedb.m1phx1.jivehosted.com
4179,plang-uat-cs01.m1phx1.jivehosted.com
7842,thomsonreuters-ls-cs01.m1phx1.jivehosted.com
4179,plang-uat-eae01.m1phx1.jivehosted.com
4179,plang-uat-wa01.m1phx1.jivehosted.com
4179,plang-uat-wa02.m1phx1.jivehosted.com
9397,mcgrawhill-uat-db.m1phx1.jivehosted.com
9397,mcgrawhill-uat-cs01.m1phx1.jivehosted.com
9397,mcgrawhill-uat-wa01.m1phx1.jivehosted.com
9397,mcgrawhill-uat-wa02.m1phx1.jivehosted.com
4832,cfe-eae01.m1phx1.jivehosted.com
4832,cfe-wa01.m1phx1.jivehosted.com
4832,cfe-wa02.m1phx1.jivehosted.com
9568,aspect-vm-eaedb.m2phx1.jivehosted.com
9568,aspect-vm-cs01.m2phx1.jivehosted.com
9568,aspect-vm-eae01.m2phx1.jivehosted.com
9568,aspect-vm-wa01.m2phx1.jivehosted.com
10355,ariba-inc-db.m2phx1.jivehosted.com
10355,ariba-inc-eaedb.m2phx1.jivehosted.com
2909,ltpulse-phx-uat-db.m1phx1.jivehosted.com
2909,ltpulse-phx-uat-eaedb.m1phx1.jivehosted.com
2909,ltpulse-phx-uat-cs01.m1phx1.jivehosted.com
2909,ltpulse-phx-uat-eae01.m1phx1.jivehosted.com
2909,ltpulse-phx-uat-wa01.m1phx1.jivehosted.com
15622,lenovo-gre-t01.m1phx1.jivehosted.com
2909,ltpulse-phx-uat-wa02.m1phx1.jivehosted.com
10355,ariba-inc-cs01.m2phx1.jivehosted.com
9090,jive-hosting6test-db.m2phx1.jivehosted.com
9090,jive-hosting6test-eaedb.m2phx1.jivehosted.com
9090,jive-hosting6test-eae01.m2phx1.jivehosted.com
9090,jive-hosting6test-wa01.m2phx1.jivehosted.com
12233,groupm-corp-uat-db.m2phx1.jivehosted.com
13592,directv-inc-ext-cs01.m1phx1.jivehosted.com
13679,isf-wa01.m1ams1.jivehosted.com
13679,isf-wa02.m1ams1.jivehosted.com
4085,state-of-oregon-uat-db.m1phx1.jivehosted.com
13759,aimia-uat-eaedb.m1phx1.jivehosted.com
13759,aimia-uat-cs01.m1phx1.jivehosted.com
13759,aimia-uat-eae01.m1phx1.jivehosted.com
13759,aimia-uat-wa01.m1phx1.jivehosted.com
7394,resource-interactive-uat-db.m2phx1.jivehosted.com
13759,aimia-uat-wa02.m1phx1.jivehosted.com
9013,tmobile-customercare-uat-phx-db.m1phx1.jivehosted.com
9013,tmobile-customercare-uat-phx-cs01.m1phx1.jivehosted.com
13759,aimia-uat-db.m1phx1.jivehosted.com
4085,state-of-oregon-uat-cs01.m1phx1.jivehosted.com
4085,state-of-oregon-uat-wa01.m1phx1.jivehosted.com
9013,tmobile-customercare-uat-phx-wa01.m1phx1.jivehosted.com
4085,state-of-oregon-uat-wa02.m1phx1.jivehosted.com
4178,plang-db.m1phx1.jivehosted.com
9013,tmobile-customercare-uat-phx-wa02.m1phx1.jivehosted.com
7323,thunder5008.m1phx1.jivehosted.com
4519,alcatel-lucent-engage-cs01.m1phx1.jivehosted.com
17055,thunder21208.m1phx1.jivehosted.com
4982,thunder2479.m1phx1.jivehosted.com
9568,aspect-vm-wa02.m2phx1.jivehosted.com
5329,thunder2857.m1phx1.jivehosted.com
7550,greatamerican-wa01.m2phx1.jivehosted.com
7843,cannon-design-cs01.m2phx1.jivehosted.com
4519,alcatel-lucent-engage-db.m1phx1.jivehosted.com
4519,alcatel-lucent-engage-eaedb.m1phx1.jivehosted.com
4519,alcatel-lucent-engage-eae01.m1phx1.jivehosted.com
4519,alcatel-lucent-engage-wa01.m1phx1.jivehosted.com
4519,alcatel-lucent-engage-wa02.m1phx1.jivehosted.com
4833,cfe-uat-eaedb.m1phx1.jivehosted.com
12233,groupm-corp-uat-eaedb.m2phx1.jivehosted.com
3009,repwireless-db.m1phx1.jivehosted.com
3009,repwireless-eaedb.m1phx1.jivehosted.com
3009,repwireless-cs01.m1phx1.jivehosted.com
2874,bridgepointeducation-db.m1phx1.jivehosted.com
2874,bridgepointeducation-eaedb.m1phx1.jivehosted.com
2874,bridgepointeducation-cs01.m1phx1.jivehosted.com
2874,bridgepointeducation-eae01.m1phx1.jivehosted.com
2874,bridgepointeducation-wa01.m1phx1.jivehosted.com
2874,bridgepointeducation-wa02.m1phx1.jivehosted.com
12233,groupm-corp-uat-cs01.m2phx1.jivehosted.com
12233,groupm-corp-uat-eae01.m2phx1.jivehosted.com
